ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",73227,11157,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2017,"2017",0,"Total",81630,6469,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2017,"2017",0,"Total",72500,6901,"Census Tract 9402, Skagit County, WA","14000US53057940200"
2017,"2017",0,"Total",64066,5959,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2017,"2017",0,"Total",60750,11544,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2017,"2017",0,"Total",77243,5395,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2017,"2017",0,"Total",64327,7853,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2017,"2017",0,"Total",53218,7422,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2017,"2017",0,"Total",44179,6104,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2017,"2017",0,"Total",75706,3114,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2017,"2017",0,"Total",37426,15807,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2017,"2017",0,"Total",50984,2878,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2017,"2017",0,"Total",40968,4125,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2017,"2017",0,"Total",89868,10497,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2017,"2017",0,"Total",61607,17990,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2017,"2017",0,"Total",40536,8194,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2017,"2017",0,"Total",61034,4651,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2017,"2017",0,"Total",78384,6937.999999999999,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2017,"2017",0,"Total",52371,10298,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2017,"2017",0,"Total",60288,6098,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2017,"2017",0,"Total",52188,11191,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2017,"2017",0,"Total",42122,5496,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2017,"2017",0,"Total",61570,2235,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2017,"2017",0,"Total",36706,3841,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2017,"2017",0,"Total",55625,6482,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2017,"2017",0,"Total",45000,5076,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2017,"2017",0,"Total",64688,8199,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2017,"2017",0,"Total",65430,12256,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2017,"2017",0,"Total",41454,2985,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2016,"2016",0,"Total",55255,6614,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2016,"2016",0,"Total",70625,6519,"Census Tract 9402, Skagit County, WA","14000US53057940200"
2016,"2016",0,"Total",65000,10930,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2016,"2016",0,"Total",62013,8076,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2016,"2016",0,"Total",39297,7587,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2016,"2016",0,"Total",55833,5198,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2016,"2016",0,"Total",41050,3761,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2016,"2016",0,"Total",54028,9581,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2016,"2016",0,"Total",32951,6687,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2016,"2016",0,"Total",41179,3541.0000000000005,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2016,"2016",0,"Total",58167,3602.0000000000005,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2016,"2016",0,"Total",57813,4971,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2016,"2016",0,"Total",75736,8923,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2016,"2016",0,"Total",58542,4237,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2016,"2016",0,"Total",69067,9800,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2016,"2016",0,"Total",67109,10359,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2016,"2016",0,"Total",36927,3797.9999999999995,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2016,"2016",0,"Total",35769,12212,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2016,"2016",0,"Total",90592,9334,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2016,"2016",0,"Total",46513,8778,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2016,"2016",0,"Total",36950,3949.9999999999995,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2016,"2016",0,"Total",72750,2618,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2016,"2016",0,"Total",38813,5585,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2016,"2016",0,"Total",47868,6570,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2016,"2016",0,"Total",59131,5890,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2016,"2016",0,"Total",77177,4086.9999999999995,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2016,"2016",0,"Total",62517,5665,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2016,"2016",0,"Total",75524,6877,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2016,"2016",0,"Total",59208,8716,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2015,"2015",0,"Total",56379,5666,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2015,"2015",0,"Total",73182,6195,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2015,"2015",0,"Total",33306,4988,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2015,"2015",0,"Total",36211,3922,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2015,"2015",0,"Total",76454,10110,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2015,"2015",0,"Total",51563,5029,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2015,"2015",0,"Total",70833,14401,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2015,"2015",0,"Total",73542,3942,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2015,"2015",0,"Total",54904,5578,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2015,"2015",0,"Total",69792,10855,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2015,"2015",0,"Total",72541,2672,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2015,"2015",0,"Total",57241,7278,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2015,"2015",0,"Total",57224,5869,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2015,"2015",0,"Total",62961,11899,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2015,"2015",0,"Total",84777,12202,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2015,"2015",0,"Total",64821,5500,"Census Tract 9402, Skagit County, WA","14000US53057940200"
2015,"2015",0,"Total",57011,3582.0000000000005,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2015,"2015",0,"Total",38479,8940,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2015,"2015",0,"Total",32337,7802.000000000001,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2015,"2015",0,"Total",44760,5287,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2015,"2015",0,"Total",50833,8400,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2015,"2015",0,"Total",36667,2969,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2015,"2015",0,"Total",37604,7009.999999999999,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2015,"2015",0,"Total",41800,5260,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2015,"2015",0,"Total",56970,7084.999999999999,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2015,"2015",0,"Total",50519,9106,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2015,"2015",0,"Total",40481,3832,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2015,"2015",0,"Total",42692,5491,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2015,"2015",0,"Total",58977,15782,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2014,"2014",0,"Total",57577,6088,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2014,"2014",0,"Total",62421,7533.000000000001,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2014,"2014",0,"Total",55903,5702,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2014,"2014",0,"Total",72939,4154,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2014,"2014",0,"Total",37716,5174,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2014,"2014",0,"Total",74955,6242,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2014,"2014",0,"Total",48958,8656,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2014,"2014",0,"Total",72239,2517,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2014,"2014",0,"Total",53688,5864,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2014,"2014",0,"Total",81563,16146,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2014,"2014",0,"Total",68250,7377,"Census Tract 9402, Skagit County, WA","14000US53057940200"
2014,"2014",0,"Total",47868,9899,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2014,"2014",0,"Total",33631,4850,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2014,"2014",0,"Total",36438,2105,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2014,"2014",0,"Total",57076,4303,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2014,"2014",0,"Total",69625,8431,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2014,"2014",0,"Total",33071,8776,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2014,"2014",0,"Total",71875,11446,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2014,"2014",0,"Total",49183,3787.9999999999995,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2014,"2014",0,"Total",31736,6474,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2014,"2014",0,"Total",54276,7350,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2014,"2014",0,"Total",43134,6934,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2014,"2014",0,"Total",56063,4281,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2014,"2014",0,"Total",41154,7062.000000000001,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2014,"2014",0,"Total",33111,5807,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2014,"2014",0,"Total",55823,6708,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2014,"2014",0,"Total",45625,11154,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2014,"2014",0,"Total",71064,5746,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2014,"2014",0,"Total",78291,12184,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2013,"2013",0,"Total",38231,5930,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2013,"2013",0,"Total",59375,16175,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2013,"2013",0,"Total",58659,4891,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2013,"2013",0,"Total",76981,10434,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2013,"2013",0,"Total",48603,11230,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2013,"2013",0,"Total",55455,6517,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2013,"2013",0,"Total",28672,9319,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2013,"2013",0,"Total",42857,11525,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2013,"2013",0,"Total",41550,7002.000000000001,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2013,"2013",0,"Total",60591,4906,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2013,"2013",0,"Total",71713,10259,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2013,"2013",0,"Total",54464,4789,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2013,"2013",0,"Total",32864,6006,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2013,"2013",0,"Total",48879,3846,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2013,"2013",0,"Total",70795,7082.000000000001,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2013,"2013",0,"Total",70282,6637,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2013,"2013",0,"Total",58086,6318,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2013,"2013",0,"Total",35306,3056,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2013,"2013",0,"Total",50030,8580,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2013,"2013",0,"Total",55196,4356,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2013,"2013",0,"Total",77976,11220,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2013,"2013",0,"Total",37946,5093,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2013,"2013",0,"Total",51809,4644,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2013,"2013",0,"Total",69939,2698,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2013,"2013",0,"Total",73700,6927.999999999999,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2013,"2013",0,"Total",56148,5177,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2013,"2013",0,"Total",35448,4558,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2013,"2013",0,"Total",71096,3063,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2013,"2013",0,"Total",71923,7705.000000000001,"Census Tract 9402, Skagit County, WA","14000US53057940200"